epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,470.409,1.3669,3.19545,1.63992,0.51053,0.29367,0.25683,0.16697,1.29141,3.14095,1.55306,0.000206653,0.000206653,0.000206653
2,529.935,1.30509,2.1847,1.53709,0.46035,0.31009,0.25468,0.15106,1.47672,2.63499,1.78154,0.000410878,0.000410878,0.000410878
3,588.971,1.34264,2.14444,1.5622,0.55209,0.23083,0.23822,0.14285,1.64814,2.43988,1.9249,0.000610978,0.000610978,0.000610978
4,647.338,1.31663,1.98814,1.53435,0.66393,0.23192,0.2854,0.17518,1.53927,2.62736,1.82591,0.000606437,0.000606437,0.000606437
5,705.881,1.251,1.86347,1.48519,0.59772,0.28691,0.32532,0.1928,1.48714,1.9929,1.73762,0.00060025,0.00060025,0.00060025
6,765.367,1.22548,1.77275,1.46613,0.48244,0.35574,0.33107,0.21637,1.44552,1.94039,1.7355,0.000594062,0.000594062,0.000594062
7,823.799,1.18854,1.77792,1.45386,0.65099,0.35849,0.3717,0.22376,1.46688,2.05021,1.78666,0.000587875,0.000587875,0.000587875
8,881.983,1.14918,1.64879,1.42149,0.62051,0.30563,0.34275,0.21322,1.41209,2.19847,1.7033,0.000581687,0.000581687,0.000581687
9,940.661,1.14318,1.57865,1.40612,0.74708,0.3683,0.434,0.27935,1.33273,1.69666,1.64672,0.0005755,0.0005755,0.0005755
10,999.675,1.09794,1.52635,1.37377,0.56901,0.42201,0.40961,0.26004,1.33858,1.89769,1.64779,0.000569313,0.000569313,0.000569313
11,1058.49,1.06194,1.46037,1.36301,0.75091,0.41152,0.45781,0.3072,1.31903,1.65223,1.60516,0.000563125,0.000563125,0.000563125
12,1117.69,1.05635,1.4168,1.33822,0.72624,0.41874,0.4919,0.32694,1.31538,1.64268,1.6298,0.000556938,0.000556938,0.000556938
13,1176.22,1.01342,1.3577,1.32443,0.71316,0.48181,0.48533,0.3134,1.30415,1.64111,1.59644,0.00055075,0.00055075,0.00055075
14,1234.48,1.02475,1.3401,1.31968,0.76227,0.41579,0.48174,0.32765,1.24242,1.59039,1.56884,0.000544563,0.000544563,0.000544563
15,1294.27,1.00126,1.28606,1.31093,0.74857,0.46834,0.51665,0.33296,1.25332,1.55012,1.56443,0.000538375,0.000538375,0.000538375
16,1352.71,1.00299,1.31283,1.31451,0.69738,0.43521,0.49778,0.32482,1.29114,1.43203,1.59216,0.000532187,0.000532187,0.000532187
